Cableado (Al/Ac),Código,Calibre (AWG/Kcmil),D. Alambre Acero (mm),D. Alambre Al (mm),D. Núcleo (mm),D. Total (mm),RMG (mm),Peso Al (kg/km),Peso Acero (kg/km),Peso Total (kg/km),Carga de Rotura (kg-f),R. Elec. CD a 20°C (Ohm/km),R. Elec. CA a 75°C (Ohm/km),Capacidad In (A),Capacidad Icc (kA)
6/1,Swan,4,2.12,2.12,2.12,6.36,2.05,58.1,27.4,85.5,845,1.32,1.7,139,3.2
6/1,Sparrow,2,2.67,2.67,2.67,8.01,2.58,92.3,43.6,136,1290,0.89,1.1,184,5.1
6/1,Robin,1,3,3,3,9,2.9,116.4,55,171,1612,0.658,0.884,211,6.4
6/1,Raven,1/0,3.37,3.37,3.37,10.11,3.25,146.8,69.3,216,1985,0.522,0.717,241,8
6/1,Quail,2/0,3.78,3.78,3.78,11.35,3.65,185.1,87.4,273,2405,0.414,0.584,275,10.1
6/1,Pigeon,3/0,4.25,4.25,4.25,12.74,4.1,233.5,110.3,344,3003,0.328,0.479,313,12.8
6/1,Penguin,4/0,4.77,4.77,4.77,14.31,4.61,294.4,139,433,3787,0.26,0.396,355,16.1
26/7,Partridge,266.8,2,2.57,6,16.29,6.62,374.8,171.9,547,5120,0.209,0.255,458,20.3
26/7,Ostrich,300,2.12,2.73,6.36,17.28,7.01,421.5,193.3,615,5757,0.185,0.226,493,22.8
26/7,Linnet,336.4,2.25,2.89,6.74,18.3,7.43,472.6,216.7,689,6400,0.165,0.202,530,25.6
26/7,Ibis,397.5,2.44,3.14,7.33,19.89,8.07,558.5,256.1,815,7386,0.14,0.171,589,30.2
26/7,Hawk,477,2.67,3.44,8.02,21.79,8.85,670.1,307.3,977,8863,0.117,0.142,661,36.3
26/7,Dove,556.5,2.89,3.72,8.67,23.53,9.55,781.8,358.5,1140,10248,0.1,0.122,728,42.3
26/7,Squab,605,3.01,3.87,9.04,24.54,9.96,850,389.7,1240,11041,0.0919,0.112,767,46
26/7,Grosbeak,636,3.09,3.97,9.27,25.16,10.21,893.5,409.7,1303,11429,0.0875,0.107,792,48.4
26/7,Gannet,666.6,3.16,4.07,9.49,25.75,10.46,936.5,429.4,1366,11979,0.0835,0.102,816,50.7
26/7,Starling,715.5,3.28,4.21,9.83,26.68,10.83,1005.2,460.9,1466,12858,0.0777,0.0949,853,54.4
26/7,Drake,795,3.45,4.44,10.36,28.13,11.42,1116.9,512.1,1629,14287,0.07,0.0854,912,60.5
24/7,Brant,397.5,2.18,3.27,6.54,19.61,7.87,558.5,203.9,762,6641,0.141,0.172,585,30.2
24/7,Flicker,477,2.39,3.58,7.16,21.49,8.63,670.1,244.7,915,7784,0.117,0.143,657,36.3
24/7,Parakeet,556.5,2.58,3.87,7.74,23.21,9.32,781.8,285.5,1067,8989,0.1,0.123,724,42.3
24/7,Peacock,605,2.69,4.03,8.07,24.2,9.71,850,310.4,1160,9773,0.0924,0.113,763,46
24/7,Rook,636,2.76,4.13,8.27,24.81,9.96,893.5,326.3,1220,10273,0.0879,0.107,787,48.4
24/7,Flamingo,666.6,2.82,4.23,8.47,25.4,10.2,936.5,342,1279,10768,0.0839,0.102,811,50.7
24/7,Stilt,715.5,2.92,4.39,8.77,26.31,10.57,1005.2,367.1,1372,11558,0.0781,0.0954,846,54.4
24/7,Cuckoo,795,3.08,4.62,9.25,27.74,11.14,1116.9,407.9,1525,12666,0.0703,0.0859,906,60.5
18/1,Waxwing,266.8,3.09,3.09,3.09,15.46,6,374.8,58.4,433,3122,0.212,0.259,448,20.3
18/1,Merlin,336.4,3.47,3.47,3.47,17.36,6.74,472.6,73.7,546,3937,0.168,0.205,519,25.6
18/1,Chickadee,397.5,3.77,3.77,3.77,18.87,7.32,558.5,87.1,646,4511,0.142,0.174,576,30.2
18/1,Pelican,477,4.13,4.13,4.13,20.67,8.02,670.1,104.5,775,5334,0.118,0.145,646,36.3
18/1,Osprey,556.5,4.47,4.47,4.47,22.33,8.66,781.8,121.9,904,6223,0.102,0.124,712,42.3
18/1,Kingbird,636,4.77,4.77,4.77,23.87,9.26,893.5,139.3,1033,7111,0.0889,0.109,775,48.4
30/7,Piper,300,2.54,2.54,7.62,17.78,7.34,423.5,277.1,701,7013,0.184,0.225,498,22.8
30/7,Oriole,336.4,2.69,2.69,8.07,18.83,7.78,474.9,310.7,786,7864,0.164,0.201,536,25.6
30/7,Lark,397.5,2.92,2.92,8.77,20.47,8.45,561.2,367.1,928,9227,0.138,0.17,595,30.2
30/7,Hen,477,3.2,3.2,9.61,22.42,9.26,673.4,440.5,1114,10803,0.116,0.142,668,36.3
30/7,Eagle,556.5,3.46,3.46,10.38,24.22,10,785.6,513.9,1300,12603,0.0994,0.121,736,42.3
30/7,Wood Duck,605,3.61,3.61,10.82,25.25,10.43,854.1,558.7,1413,13118,0.0914,0.112,776,46
30/7,Scoter,636,3.7,3.7,11.09,25.89,10.69,897.9,587.4,1485,13791,0.087,0.106,800,48.4
30/7,Skimmer,795,4.13,4.13,12.4,28.94,11.95,1122.4,734.2,1857,17106,0.0696,0.0849,922,60.5
45/7,Tern,795,2.25,3.38,6.75,27.01,10.72,1119.6,217.5,1337,10015,0.071,0.088,888,60.5
45/7,Ruddy,900,2.39,3.59,7.18,28.74,11.41,1267.5,246.3,1514,11085,0.063,0.078,958,68.5
45/7,Rail,954,2.47,3.7,7.4,29.59,11.75,1343.6,261,1605,11750,0.059,0.074,993,72.6
45/7,Ortolan,1033.5,2.57,3.85,7.7,30.79,12.23,1455.5,282.8,1738,12562,0.055,0.069,1042,78.6
45/7,Bluejay,1113,2.66,3.99,7.99,31.96,12.69,1567.5,304.6,1872,13528,0.051,0.064,1090,84.7
45/7,Bunting,1192.5,2.76,4.13,8.27,33.08,13.13,1679.4,326.3,2006,14495,0.047,0.06,1137,90.7
45/7,Bittern,1272,2.85,4.27,8.54,34.16,13.56,1791.4,348.1,2139,15461,0.044,0.056,1183,96.8
45/7,Dipper,1351.5,2.93,4.4,8.8,35.21,13.98,1903.4,369.8,2273,16427,0.042,0.053,1227,102.8
45/7,Bobolink,1431,3.02,4.53,9.06,36.24,14.39,2015.3,391.6,2407,17393,0.04,0.05,1270,108.9
45/7,Nuthatch,1510.5,3.1,4.65,9.31,37.23,14.78,2127.3,413.3,2541,18181,0.037,0.048,1312,114.9
45/7,Lapwing,1590,3.18,4.77,9.55,38.2,15.16,2239.3,435.1,2674,19138,0.036,0.046,1353,121
54/7,Condor,795,3.08,3.08,9.25,27.74,11.23,1122.4,407.9,1530,12787,0.071,0.089,889,60.5
54/7,Canary,900,3.28,3.28,9.84,29.51,11.95,1270.6,461.8,1732,14476,0.062,0.079,959,68.5
54/7,Cardinal,954,3.38,3.38,10.13,30.38,12.31,1346.8,489.5,1836,15345,0.059,0.075,994,72.6
54/7,Curlew,1033.5,3.51,3.51,10.54,31.63,12.81,1459.1,530.3,1989,16624,0.054,0.069,1044,78.6
54/7,Finch,1113,2.19,3.65,10.94,32.82,13.29,1571.3,559.3,2131,17718,0.05,0.065,1093,84.7
